INDEX,UNIQUE JOBS,Raw Material,Requires Vehicle,Requires Recipe,IS_CRIMINAL,Is Activity
1,Bring a Crate of 5 Bank Bonds to two stops.,,,,,
2,Bring 10 boiled potatoes to the Valentine church.,,,,,
3,Bring crates of 5 Bank Bonds to three stops.,,,,,
4,Help Drive 3 Bovine to Hanging Dog Ranch.,,,,,
5,Help drive 3 Bovine to McFarlane Ranch.,,,,,
6,10 Chopped Wood in Crates needed at Four locations starting at Manteca Falls.,,,,,
7,Bring 2 Ram Carcasses to Colter,,,,,
8,10 Units of Chopped Wood needed at Fort Wallace posthaste!,,,,,
9,Deliver 3 Rats to the Bridge,,,,,
10,Help Drive 3 Cattle to Emerald Ranch,,,,,
11,4 Customers are requesting delivery of Small Logs,,,,,
12,Deliver 2 Gold Bars in crates to 4 locations.,,,,,
13,Deliver 3 Scalloped Potatoes to Hotbox 2,,,,,
14,Deliver 3 Gold Bars to the Gaptooth Moonshine Still,,,,,
15,Deliver 3 Gold Bars in crates to 3 locations.,,,,,
16,Bring 5 Pheasant Carcasses to the Valentine Butcher,,,,,
17,Help Drive 3 Cattle to Beecher's Hope,,,,,
18,Bring 3 Cups of Hot Chocolate to the Armadillo Medical Office,,,,,
19,Deliver 5 Tarnished Rings to the Bridge,,,,,
20,Haul 20 Units of Coal to Armadillo,,,,,
21,Deliver 10 Corn On The Cob to the Armadillo General Store,,,,,
22,Deliver Crates of 10 Chopped Wood each to 3 locations throughout New Austin.,,,,,
23,Deliver fine northern Small Logs to Four customers between Ambarino and Blackwater,,,,,
24,Seven customers in the East are awaiting delivery of Small Logs.,,,,,
25,Strawberry to Benedict Point. Make Six deliveries of Small Logs,,,,,
26,4 Deliveries of Small Logs needed in the New Austin area,,,,,
27,Drop off crates with 7 gold bars each to four customers.,,,,,
28,Bring Crates of 5 Bank Bonds to three stops.,,,,,
29,Deliver 2 Gold Bars in crates to 3 locations,,,,,
30,Drop off a crate containing 4 Gold Bars at 4 locations.,,,,,
31,Deliver 2 crated Gold Bars to two locations.,,,,,
32,Drop off crates containing 8 Gold Bars at 4 locations,,,,,
33,Bring 2 Turkey Carcasses to the butcher in Strawberry,,,,,
34,Bring 2 Turkey Carcasses to the butcher in Valentine,,,,,
35,Bring 3 Iguana Carcasses to Thieves Landing,,,,,
36,Drive 3 Cattle to Pronghorn Ranch.,,,,,
37,Help drive 3 Bovine to Carmody Dell,,,,,
38,Help Drive 3 Cattle to the Scratching Post,,,,,
39,Help Drive 3 Cattle to Ridgewood Farm.,,,,,
40,Bring 6 Lassos to the Treehouse,,,,,
41,Drop off Crates of 10 Oranges at 9 customers from east to west,,,,,
42,Deliver 5 crated Moonshine to 2 places.,,,,,
43,Bring 8 servings of Wojabi Berry Sauce to the Bastille in Saint Denis,,,,,
44,15 units of Chopped Wood in Crates to be delivered to Five locations from Valentine to Saint Denis.,,,,,
45,Deliver 2 Gold Bars in crates to 2 locations.,,,,,
46,Drop off a crate containing 8 gold bars in four locations,,,,,
47,"Deliver 15 crated Moonshine to 5 customers, quick as lightning!",,,,,
48,Deliver 15 Crated Bottles of Milk to 4 customers from Armadillo to Strawberry,,,,,
49,Crates of 15 Oranges each needed for 3 customers heading west,,,,,
50,Crates of 25 Oranges each needed for 3 customers between New Hanover and West Elizabeth,,,,,
51,Deliver 10 Chicken Tacos to Armadillo,,,,,
52,Deliver 10 Churros to Armadillo,,,,,
53,Planks to be delivered to 3 locations,,,,,
54,Deliver 2 Gold Bars in a crate to 3 locations.,,,,,
55,Deliver 2 Gold Bars in a crate to 4 locations.,,,,,
56,Deliver 20 Bottles of Milk to the Armadillo General Store,,,,,
57,Deliver 3 Gold Bars to Gaptooth,,,,,
58,Deliver Planks to Van Horn and Saint Denis,,,,,
59,Deliver 8 Gold Bars in crates to 2 locations.,,,,,
60,Bring Crates of 20 Bank Bonds to three stops.,,,,,
61,Crates of 20 Oranges each needed for 4 customers between New Hanover and West Elizabeth,,,,,
62,Bring 20 Bottles of Milk to the Caf�� Balzac in St.Denis,,,,,
63,Bring 3 Cups of Hot Chocolate to the Rhodes Medical Office,,,,,
64,Deliver 3 Gold Bars in crates to 2 locations,,,,,
65,Drop off crates containing 3 Gold Bars at 2 different locations,,,,,
66,Bring crates containing 20 Bank Bonds to four destinations,,,,,
67,Bring 10 Rabbit Carcasses to the butcher in Saint Denis,,,,,
68,Crates of 20 Oranges each needed for 4 customers in Roanoke,,,,,
69,Deliver 25 Wood Shavings to the Van Horn Fishmonger,,,,,
70,5 Wedges of Cheese Needed at Blackwater General Store,,,,,
71,Deliver 5 bottles of Moonshine to the Rhodes Parlour House,,,,,
72,Deliver Planks to Adler and Pronghorn Ranches,,,,,
73,Deliver 3 Gold Bars in crates to Cairn Lake and Adler Ranch,,,,,
74,Bring 2 Pheasant Carcasses to the Butcher in Saint Denis,,,,,
75,Bring 2 Turkey Carcasses to the butcher in Rhodes,,,,,
76,Bring 2 Turkey Carcasses to the butcher in Blackwater,,,,,
77,Deliver 20 Crated Oranges to 4 locations,,,,,
78,Deliver Ice Blocks to 6 customers,,,,,
79,Deliver Small Logs to 5 Customers,,,,,
80,Bring 3 Gizzards to the General Store in Valentine,,,,,
81,Bring 3 Gizzards to the Blackwater Saloon,,,,,
82,Bring 5 Boiled Potatoes to the Haberdashery in Colter,,,,,
83,Bring 5 Boiled Potatoes to the General Store in Tumbleweed,,,,,
84,Bring 6 Cooked Poultry with Oregano to the church in Rhodes,,,,,
85,Bring 6 Cooked Poultry with Oregano to Owanjila,,,,,
86,Bring 6 Cooked Poultry with Oregano to Benedict Point,,,,,
87,Bring 8 Corn on the Cob to Doyle's Tavern in Saint Denis,,,,,
88,Bring 8 Corn on the Cob to the church in Saint Denis,,,,,
89,Bring 3 Gift Boxes to Beecher's Hope near Blackwater,,,,,
90,Bring 3 Leather Strips to the Strawberry Lodge,,,,,
91,Bring a Jewelry Box to a House Near Valentine,,,,,
92,Bring 15 Gold Pebbles to the Watchmaker in St.Denis,,,,,
93,5 customers await delivery of Logs,,,,,
94,Delivery Small Logs to 5 eager customers.,,,,,
95,Deliver Ice Blocks to four destinations. Final stop Blackwater,,,,,
96,Bring 1 Cut Onyx to the Fort to be shipped to a mysterious buyer,,,,,
97,Four customers across Roanoke & Cumberland are expecting Small Logs,,,,,
98,40 Units of Chopped Wood in Crates to be delivered to 2 locations in the Northeast.,,,,,
99,Deliver 5 Potato Soups to the Mess Hall,,,,,
100,Deliver 5 Bank Bonds to the Sea of Coronado,,,,,
101,Deliver Ice Blocks to four businesses and homes across Saint's Crossing,,,,,
102,Deliver Planks to 4 customers.,,,,,
103,Deliver 20 Oranges in crates to Caliga Hall and Valentine Saloon,,,,,
104,Flatneck to the Bayou. Six deliveries of Small Logs needed.,,,,,
105,Bring Crates of 5 Bank Bonds to three stops,,,,,
106,Bring 2 Ringneck Pheasant Carcasses to the butcher in Wapiti Village,,,,,
107,Drop off crates of 15 Oranges at 5 customers,,,,,
108,Deliver 20 units of Coal to Riggs Station,,,,,
109,Bring Crates of 5 Bank Bonds to four stops.,,,,,
110,Bring Crates of 15 Bank Bonds to four stops.,,,,,
111,Deliver Small Logs to 6 customers. Last stop Tumbleweed.,,,,,
112,Bring 3 Gift Boxes to the Mayor's Manor in St.Denis,,,,,
113,Bring 10 servings of French Bread to the Saint Denis Soup Kitchen,,,,,
114,Drop 5 Rats 'round back of the Barber,,,,,
115,Deliver 1 Gold Bar to the ship at Thieves Landing,,,,,
116,Bring 2 Armadillo Carcasses to the Blackwater Butcher,,,,,
117,5 Hearty Bowls of Potato Soup to be brought to the Valentine Church,,,,,
118,5 Bundles of Brownies to be delivered to the Valentine Church,,,,,
119,Deliver 3 Gold Bars to the Abandoned Mansion near Van Horn,,,,,
120,Deliver a Small Log to Pronghorn Ranch and the Strawberry Workshop,,,,,
121,"Deliver Planks to the Village of Wapiti, Grizzlies Watchtower, and Fort Brennand.",,,,,
122,Deliver Ice Blocks to four destinations. Final stop Caliga Hall,,,,,
123,Deliver 10 Bottles of Milk to 4 Customers from Armadillo to Blackwater,,,,,
124,Deliver Ice Blocks to six destinations. Final stop Manzinata Post,,,,,
125,Bring 2 Turkey Carcasses to the butcher in Saint Denis,,,,,
126,Bring 3 Gizzards to the Welcome Center in Strawberry,,,,,
127,Bring 8 Servings of Wojabi Berry Sauce to Doyle's Tavern in Saint Denis,,,,,
128,Bring 8 servings of Wojabi Berry Sauce to the camp in Rhodes,,,,,
129,Bring 5 Boiled Potatoes to the Taxidermy House in Strawberry,,,,,
130,Bring 5 Boiled Potatoes to the Caravan near Blackwater,,,,,
131,Bring 2 Berry Pies to the Welcome Center in Strawberry,,,,,
132,Bring 8 Corn on the Cob to the Haberdashery in Colter,,,,,
133,Bring 8 Corn on the Cob to Armadillo,,,,,
134,Bring 8 Corn on the Cob to the General Store in Tumbleweed,,,,,
135,Bring 3 Gift Boxes to a Small Cabin Near Owanjila,,,,,
136,Deliver 10 Units of Coal to the Armadillo Sheriff's Office,,,,,
137,Bring 3 Gift Boxes to the Cabin near Del Lobo Rock,,,,,
138,Bring 2 Pieces of Junk to a House in St.Denis,,,,,
139,Bring 5 Mint Chocolate Candies to a Cabin in Big Valley,,,,,
140,Bring 3 Cups of Hot Chocolate to the Strawberry Medical Office,,,,,
141,Deliver Ice Blocks to three businesses and homes across Saint's Crossing,,,,,
142,Bring 1 Rat to the Bridgehouse to prove you cleared them,,,,,
143,Deliver Ice Blocks to four destinations. Final stop Tumbleweed,,,,,
144,Help Drive 3 Cattle from Carmody Dell to Hill Haven.,,,,,
145,3 Deliveries of Small Logs needed in the New Hanover area,,,,,
146,Bring a Diamond to the Warden's Office,,,,,
147,Deliver 50 gatherings of Dirt and Pebbles to Armadillo,,,,,
148,Help Drive 3 Cattle to Pleasance Homestead,,,,,
149,Deliver Crates of 10 Oranges Each to Van Horn and Annesburg,,,,,
150,Bring 3 Gift Boxes to the Wheat Farm near Emerald Ranch,,,,,
151,Deliver 1 Scalloped Potato to the Mess Hall,,,,,
152,Deliver 5 Bank Bonds to the Annesburg Freight Dropoff,,,,,
153,Deliver 2 Gold Bars to mansion near Van Horn,,,,,
154,Haul Ice Blocks to four stops ending in Van Horn,,,,,
155,10 Milk Bottles in crates needed at 2 locations to the south.,,,,,
156,Bring Crates of 25 Bank Bonds to three stops.,,,,,
157,5 Customers requesting crates of 15 oranges each.,,,,,
158,Deliver 30 pieces of Chopped Wood to Armadillo,,,,,
159,Six locations in need of 10 Crated Chopped Wood each. ,,,,,
160,"20 Units of Chopped Wood, securely Crated, to be delivered to Five customers due south.",,,,,
161,Deliver Ice Blocks to four destinations. Final stop Pronghorn Ranch,,,,,
162,8 Drop-Offs of 10 Bottles of Milk in Crates,,,,,
163,Deliver Ice Blocks to the train stations at Valentine and Emerald Ranch,,,,,
164,Deliver Ice Blocks to 5 customers from Armadillo to Van Horn,,,,,
165,Deliver Planks to 3 customers in the East,,,,,
166,"Deliver Small Logs to Hanging Dog, Valentine, Cornwall Kerosene & Tar, and Emerald Ranch",,,,,
167,Bring 2 Adult Gator Carcasses to the butcher in Saint Denis,,,,,
168,Help Drive 3 Cattle to Downe's Ranch,,,,,
169,Bring 8 servings of Wojabi Berry Sauce to Smithfield's Saloon in Valentine,,,,,
170,Bring 8 servings of Wojabi Berry Sauce to the General Store in Strawberry,,,,,
171,Bring 8 servings of Wojabi Berry Sauce to the Colter Haberdashery,,,,,
172,Bring 8 servings of Wojabi Berry Sauce to the Saloon in Tumbleweed,,,,,
173,Bring 5 Boiled Potatoes to the Jade Dragon in Saint Denis,,,,,
174,Bring 6 Cooked Poultry with Oregano to the campsite in Roanoake,,,,,
175,Bring 6 Cooked Poultry with Oregano to the market in Saint Denis,,,,,
176,Bring 6 Cooked Poultry with Oregano to Keane's Saloon in Valentine,,,,,
177,Bring 6 Cooked Poultry with Oregano to Adler Ranch,,,,,
178,Bring 6 Cooked Poultry with Oregano to Manzanita Post,,,,,
179,Bring 2 Berry Pies to the General Store in Saint Denis,,,,,
180,Bring 2 Berry Pies to the General Store in Valentine,,,,,
181,Bring 8 Corn on the Cob to Keane's Saloon in Valentine,,,,,
182,Bring 3 Gift Boxes to the Braithewaite Manor near Rhodes,,,,,
183,Deliver 10 Units of Coal to the Strawberry Sheriff's Office,,,,,
184,Bring 15 Sections of Sugar Cane to the Tree in Rhodes,,,,,
185,Deliver 5 Bowls of Fish Stew to the Saint Denis Soup Kitchen,,,,,
186,Deliver 2 Gold Bars to Cattail Pond,,,,,
187,Deliver Ice Blocks to 3 customers,,,,,
188,Deliver Crates of 10 Bottles of Milk each to Eight customers,,,,,
189,Deliver 2 Gold Bars to the Van Horn Depot,,,,,
190,Bring 4 Cat Carasses to the butcher in Saint Denis,,,,,
191,Transport Ice Blocks to four businesses and homes across Saint's Crossing,,,,,
192,4 Milk Lovers are Requesting a Crate of 10 Milk Each,,,,,
193,Deliver 30 units of Raw Fluorite to the Valentine freight depot.,,,,,
194,Drop off Crates of 20 Oranges to four customers in Blackwater and west,,,,,
195,Deliver Crates of 5 Bottles of Milk each to 4 customers,,,,,
196,Deliver 40 units of Raw Fluorite to Annesburg docks.,,,,,
197,Bring 3 Adult Gator Carcasses to the butcher in Saint Denis,,,,,
198,Deliver crates of 10 oranges each to 8 customers from Saint Denis to Big Valley,,,,,
199,Deliver 2 Gold Bars to the Tumbleweed General Store,,,,,
200,Deliver 6 pieces of Chopped Wood to the Colter Freight Depot,,,,,
201,Deliver Ice Blocks to Three businesses and homes across Saint's Crossing,,,,,
202,Deliver 20 units of Coal to Bacchus Station,,,,,
203,Deliver 20 units of Coal to Benedict Point,,,,,
204,Deliver 15 Bottles of Milk in Crates to Lake Don Julio and Tumbleweed,,,,,
205,Deliver Ice Blocks to four destinations across the Crossing.,,,,,
206,Deliver Crates of 10 Bottles of Milk each to 4 customers in New Austin,,,,,
207,Bring Crates of 10 Bank Bonds to two stops,,,,,
208,Bring 2 Boar Carcasses to the butcher in Rhodes,,,,,
209,Deliver 10 pieces of Chopped Wood to Adler Ranch northeast of Colter,,,,,
210,Deliver 3 servings of Wild One Punch to the Bastille in Saint Denis,,,,,
211,Deliver 6 Chopped Wood to Bacchus Station,,,,,
212,Deliver 1 Gold Bar to a Basement near Benedict Point,,,,,
213,Deliver Ice Blocks to 4 stops. Final stop Wapiti Village,,,,,
214,Crates containing 15 bottles to be delivered to 6 stops along route.,,,,,
215,Deliver Crates of 10 Coal each to 4 locations from New Elizabeth to the Ridge,,,,,
216,Deliver Ice Blocks to five destinations. Final stop Manzinata Post,,,,,
217,Deliver crates containing 15 Milk Bottles to three destinations.,,,,,
218,Bring crates of 5 Bank Bonds to three stops,,,,,
219,Deliver 10 Vials of Blood to the Witch's Hut ,,,,,
220,Bring 3 Pronghorn Carcasses to the Blackwater Butcher,,,,,
221,Help Drive 3 Cattle to MacLean's Ranch,,,,,
222,Logs are needed in the West. Deliver to 5 locations with haste.,,,,,
223,Bring 3 Gizzards to Emerald Ranch,,,,,
224,Bring 3 Gizzards to the Soup Kitchen in Saint Denis,,,,,
225,Bring 3 Gizzards to the Parlour House in Rhodes,,,,,
226,Bring 8 servings of Wojabi Berry Sauce to Armadillo,,,,,
227,Bring 5 Boiled Potatoes to the campsite in Valentine,,,,,
228,Bring 2 Berry Pies to the Blackwater Saloon,,,,,
229,Bring 8 Corn on the Cob to the General Store in Blackwater,,,,,
230,Bring 3 Gift Boxes to the Ranch House in Cholla Springs,,,,,
231,Deliver 10 Units of Coal to the St.Denis Police Station,,,,,
232,Deliver 20 units of Coal to Wallace Station,,,,,
233,2 Customers are in need of rapid delivery of planks.,,,,,
234,Travel north towards Colter and make Four drop-offs of Small Logs,,,,,
235,Deliver crates containing 15 Milk Bottles to four destinations.,,,,,
236,Deliver Planks to 4 locations in New Austin,,,,,
237,Drop-off crates containing 20 Oranges to 4 customer. Final stop Colter.,,,,,
238,Deliver 20 Crated Oranges to 3 customers in the Southeast,,,,,
239,Deliver 1 Gold Bar to the Roanoke Train Construction,,,,,
240,Deliver Crates of 15 Chopped Wood each to five locations between Cumberland Forest and the Great Plains,,,,,
241,Requesting Delivery of 5 Crated Bottles Of Milk to 2 Customers,,,,,
242,Deliver 10 Saint's Sinners to the Rhodes Saloon,,,,,
243,Bring 60 Rolled Cigarettes to the Armadillo Train Station,,,,,
244,Deliver 2 Gold Bars to a House in  Lemoyne,,,,,
245,Deliver Blocks of Ice to five customers in the Grizzlies.,,,,,
246,Bring 2 Pieces of Junk to a House Near Blackwater,,,,,
247,Deliver 1 Gold Bar to Dakota Ranch,,,,,
248,Haul Ice Blocks to 4 stops. Final stop Annesburg,,,,,
249,Bring 3 Catahoula Cur Carcasses to the butcher in Armadillo,,,,,
250,"With haste, kindly deliver 30 units of Raw Ammolite to the Annesburg Gunsmith",,,,,
251,Quick Small Log Delivery to Blackwater and MacFarlane's Ranch,,,,,
252,Bring 5 Boiled Potatoes to the School in Armadillo,,,,,
253,Bring 6 Cooked Poultry with Oregano to the Circus near Armadillo,,,,,
254,Bring 2 Berry Pies to the Parlour House in Rhodes,,,,,
255,Bring 2 Berry Pies to the Haberdashery in Colter,,,,,
256,Bring 2 Berry Pies to Armadillo,,,,,
257,6 Customers eagerly awaiting Plank deliveries,,,,,
258,Bring 5 good or perfect Pronghorn Doe Hides to Armadillo Butcher,,,,,
259,Haul 20 units of Coal to Armadillo,,,,,
260,Bring Crates of 15 Bank Bonds to three stops,,,,,
261,Crates of 10 bottles of Moonshine needed at 5 drop points,,,,,
262,5 Customers across New Austin are expecting Plank deliveries. ,,,,,
263,Bring 5 Scalloped Potatoes to the Tower,,,,,
264,Bring 1 Fer-de-lance Snake Carcass to the butcher in Blackwater,,,,,
265,Bring 3 Wild One Punches to the Rhodes Saloon,,,,,
266,Deliver 5 Milk in a Crate to Four Paying Customers,,,,,
267,Deliver 6 Vulture Eggs to the back door of the Blackwater Restaurant,,,,,
268,Deliver crates with 15 bottles of Moonshine to 4 locations,,,,,
269,Deliver 5 Bank Bonds to the camps near the Sea of Coronado,,,,,
270,Deliver 10 Slow Cooked Kebabs to Armadillo,,,,,
271,Deliver 20 Crated Chopped Wood to four separate customers in the Southeast.,,,,,
272,Bring crates of 15 Bank Bonds to three stops.,,,,,
273,Deliver Small Logs to Five (5) customers from West Elizabeth to Lemoyne.,,,,,
274,Deliver 3 Potato Soups to Hotbox 1,,,,,
275,"From the Bayou to Riggs, 5 customers have ordered Small Logs",,,,,
